country,global-index-rank,global-index-score,economic-participation-opportunity-rank,economic-participation-opportunity-score,educational-attainment-rank,educational-attainment-score,health-survival-rank,health-survival-score,political-empowerment-rank,political-empowerment-score
Honduras,68,0.706,75,0.673,31,1.000,62,0.977,73,0.176
Montenegro,69,0.706,57,0.696,71,0.992,42,0.979,83,0.157
Italy,70,0.706,118,0.592,61,0.995,116,0.969,38,0.267
Tanzania,71,0.704,72,0.676,124,0.918,53,0.978,43,0.245
Cape Verde,72,0.702,65,0.684,102,0.971,80,0.974,70,0.178
Thailand,73,0.702,22,0.763,81,0.991,56,0.978,130,0.074
Dominican Republic,74,0.701,89,0.650,54,0.997,1,0.980,69,0.179
Russian Federation,75,0.701,31,0.741,28,1.000,1,0.980,123,0.085
Kenya,76,0.700,37,0.734,122,0.929,1,0.980,82,0.159
Viet Nam,77,0.698,33,0.740,101,0.972,143,0.957,99,0.124
Greece,78,0.696,64,0.684,73,0.992,99,0.971,88,0.138
Suriname,79,0.695,93,0.638,77,0.991,87,0.973,71,0.177
Eswatini,80,0.694,58,0.694,86,0.989,1,0.980,104,0.112
Lesotho,81,0.693,88,0.650,1,1.000,1,0.980,86,0.143
Czech Republic,82,0.693,87,0.651,1,1.000,1,0.980,87,0.140
Slovak Republic,83,0.693,83,0.657,1,1.000,1,0.980,91,0.135
Madagascar,84,0.691,48,0.714,115,0.950,82,0.974,96,0.127
Indonesia,85,0.691,96,0.629,107,0.967,79,0.974,60,0.193
Kyrgyz Republic,86,0.691,78,0.662,79,0.991,1,0.980,93,0.130
El Salvador,87,0.690,121,0.582,75,0.992,1,0.980,57,0.206
Myanmar,88,0.690,35,0.738,98,0.976,61,0.977,133,0.069
Ghana,89,0.688,25,0.753,120,0.935,119,0.968,117,0.097
Brunei Darussalam,90,0.686,26,0.752,84,0.990,113,0.969,145,0.031
Malta,91,0.686,106,0.614,1,1.000,114,0.969,81,0.159
Cyprus,92,0.684,70,0.679,48,0.998,125,0.967,120,0.092
Cambodia,93,0.683,45,0.719,119,0.938,75,0.975,108,0.102
Senegal,94,0.682,123,0.564,132,0.880,69,0.976,30,0.308
Brazil,95,0.681,92,0.645,1,1.000,1,0.980,112,0.101
Liberia,96,0.681,41,0.729,141,0.792,118,0.968,47,0.236
Azerbaijan,97,0.680,47,0.716,33,1.000,146,0.941,137,0.063
Armenia,98,0.678,73,0.675,35,1.000,148,0.939,115,0.099
Georgia,99,0.677,85,0.654,60,0.996,123,0.967,119,0.093
Sri Lanka,100,0.676,125,0.549,90,0.988,1,0.980,65,0.188
Malaysia,101,0.676,84,0.656,1,1.000,83,0.974,131,0.072
Hungary,102,0.674,68,0.680,66,0.994,42,0.979,142,0.045
China,103,0.673,86,0.653,111,0.958,149,0.915,78,0.164
Paraguay,104,0.672,98,0.623,67,0.994,96,0.972,114,0.100
Nepal,105,0.671,110,0.608,123,0.926,128,0.966,66,0.185
Fiji,106,0.669,112,0.603,76,0.991,42,0.979,107,0.104
Guatemala,107,0.668,100,0.623,104,0.968,1,0.980,111,0.102
India,108,0.665,142,0.385,114,0.953,147,0.940,19,0.382
Mauritius,109,0.663,119,0.585,78,0.991,1,0.980,116,0.097
Japan,110,0.662,117,0.595,65,0.994,41,0.979,125,0.081
Belize,111,0.662,90,0.648,85,0.990,1,0.980,144,0.032
Malawi,112,0.662,109,0.609,127,0.908,1,0.980,84,0.152
Maldives,113,0.662,101,0.622,27,1.000,144,0.953,132,0.072
Sierra Leone*,114,0.661,62,0.686,128,0.907,124,0.967,124,0.083
"Korea, Rep.",115,0.657,124,0.549,100,0.973,87,0.973,92,0.134
Guinea,116,0.656,7,0.820,147,0.682,138,0.962,80,0.162
Ethiopia,117,0.656,111,0.606,137,0.819,66,0.976,52,0.223
Benin,118,0.654,4,0.850,145,0.729,92,0.972,134,0.065
Tunisia,119,0.648,135,0.439,108,0.966,105,0.971,55,0.216
"Gambia, The",120,0.642,116,0.598,129,0.896,112,0.970,106,0.106
United Arab Emirates,121,0.642,134,0.439,95,0.979,94,0.972,68,0.180
Bhutan,122,0.638,104,0.619,125,0.917,141,0.960,138,0.056
Tajikistan,123,0.638,126,0.547,118,0.940,74,0.976,121,0.088
Timor-Leste,124,0.638,138,0.423,121,0.935,64,0.977,56,0.216
Angola,125,0.633,113,0.602,143,0.745,1,0.980,58,0.206
Kuwait,126,0.630,127,0.541,74,0.992,140,0.961,146,0.027
Qatar,127,0.629,129,0.511,62,0.995,139,0.961,140,0.050
Algeria,128,0.629,132,0.452,112,0.957,137,0.962,85,0.145
Burkina Faso,129,0.629,99,0.623,135,0.853,133,0.963,128,0.075
Turkey,130,0.628,131,0.466,106,0.968,67,0.976,113,0.101
Côte d'Ivoire,131,0.627,102,0.621,138,0.815,106,0.970,110,0.102
Bahrain,132,0.627,128,0.515,43,0.998,142,0.958,143,0.037
Nigeria,133,0.621,79,0.661,140,0.806,132,0.964,139,0.052
Togo*,134,0.618,108,0.610,142,0.771,131,0.965,95,0.128
Egypt,135,0.614,139,0.421,99,0.975,84,0.974,122,0.087
Mauritania,136,0.607,140,0.408,134,0.862,109,0.970,64,0.189
Morocco,137,0.607,141,0.404,117,0.942,135,0.963,102,0.117
Jordan,138,0.605,144,0.375,45,0.998,102,0.971,129,0.075
Oman*,139,0.605,137,0.430,83,0.990,49,0.979,148,0.020
Lebanon,140,0.595,136,0.432,110,0.959,122,0.967,147,0.024
Saudi Arabia,141,0.590,145,0.337,93,0.982,136,0.963,127,0.077
"Iran, Islamic Rep.",142,0.589,143,0.376,103,0.969,127,0.966,141,0.046
Mali,143,0.582,130,0.507,144,0.739,129,0.965,101,0.118
"Congo, Dem. Rep.*",144,0.582,107,0.613,148,0.674,70,0.976,136,0.063
Chad,145,0.580,71,0.677,149,0.575,101,0.971,118,0.097
Syria,146,0.568,148,0.273,113,0.955,1,0.980,135,0.063
Iraq*,147,0.551,149,0.264,136,0.829,76,0.975,90,0.135
Pakistan,148,0.550,146,0.318,139,0.810,145,0.946,97,0.127
Yemen,149,0.499,147,0.299,146,0.718,126,0.966,149,0.014
