country,global-index-rank,global-index-score,economic-participation-opportunity-rank,economic-participation-opportunity-score,educational-attainment-rank,educational-attainment-score,health-survival-rank,health-survival-score,political-empowerment-rank,political-empowerment-score
Lao PDR,43,0.724,2,0.832,115,0.944,90,0.972,79,0.146
Trinidad and Tobago,44,0.723,51,0.702,69,0.992,1,0.980,50,0.218
United States,45,0.722,26,0.752,1,1.000,62,0.975,73,0.162
Australia,46,0.721,42,0.719,1,1.000,72,0.974,61,0.193
Panama,47,0.721,55,0.696,62,0.993,1,0.980,54,0.214
Serbia,48,0.720,70,0.670,49,0.996,76,0.973,42,0.242
Israel,49,0.719,62,0.678,1,1.000,67,0.974,48,0.224
Italy,50,0.719,117,0.574,56,0.995,72,0.974,25,0.331
Kazakhstan,51,0.718,31,0.745,58,0.995,1,0.980,77,0.153
Austria,52,0.716,84,0.650,86,0.987,1,0.980,41,0.246
Tanzania,53,0.716,65,0.674,126,0.914,53,0.979,33,0.296
Botswana,54,0.715,6,0.819,1,1.000,85,0.973,126,0.068
Singapore,55,0.712,17,0.793,95,0.975,121,0.967,97,0.111
Zimbabwe,56,0.710,45,0.714,96,0.973,1,0.980,69,0.175
Lesotho,57,0.706,66,0.672,1,1.000,1,0.980,70,0.172
Mongolia,58,0.705,23,0.766,66,0.993,1,0.980,119,0.084
Ghana,59,0.705,10,0.805,119,0.931,85,0.973,95,0.112
Madagascar,60,0.704,32,0.739,101,0.964,88,0.973,81,0.142
Uganda,61,0.704,87,0.647,120,0.928,1,0.980,37,0.260
Albania,62,0.704,73,0.668,88,0.986,141,0.947,53,0.214
Kenya,63,0.702,48,0.710,116,0.943,83,0.973,64,0.182
El Salvador,64,0.702,95,0.623,73,0.991,1,0.980,52,0.214
Vietnam,65,0.700,33,0.736,93,0.978,138,0.950,84,0.138
Mexico,66,0.700,122,0.544,51,0.996,1,0.980,34,0.281
Malawi,67,0.700,12,0.799,125,0.915,75,0.973,94,0.113
Croatia,68,0.700,68,0.672,57,0.995,40,0.979,76,0.154
Ukraine,69,0.700,40,0.722,26,1.000,40,0.979,107,0.098
Chile,70,0.699,119,0.565,38,0.999,39,0.979,39,0.254
Thailand,71,0.699,22,0.770,74,0.990,1,0.980,131,0.057
Bangladesh,72,0.698,135,0.410,114,0.950,93,0.971,7,0.462
"Macedonia, FYR",73,0.696,79,0.658,91,0.982,119,0.967,67,0.178
Venezuela,74,0.694,71,0.669,33,0.999,1,0.980,89,0.127
Russian Federation,75,0.691,41,0.722,45,0.997,40,0.979,129,0.066
Romania,76,0.690,54,0.699,68,0.992,40,0.979,112,0.090
Czech Republic,77,0.690,89,0.647,1,1.000,40,0.979,85,0.134
Honduras,78,0.690,96,0.623,1,1.000,59,0.976,75,0.160
Brazil,79,0.687,91,0.640,42,0.998,1,0.980,86,0.132
Peru,80,0.687,111,0.594,80,0.989,100,0.970,60,0.194
Kyrgyz Republic,81,0.687,83,0.651,72,0.991,76,0.973,87,0.132
Senegal,82,0.685,94,0.628,133,0.830,123,0.967,27,0.316
Bosnia and Herzegovina*,83,0.685,113,0.581,50,0.996,76,0.973,62,0.191
Cyprus,84,0.684,75,0.665,41,0.998,71,0.974,105,0.100
Cameroon,85,0.684,39,0.727,130,0.862,114,0.968,65,0.180
Azerbaijan,86,0.684,38,0.728,83,0.988,138,0.950,124,0.069
India,87,0.683,136,0.408,113,0.950,142,0.942,9,0.433
Indonesia,88,0.682,107,0.598,87,0.987,58,0.976,72,0.168
Montenegro,89,0.681,88,0.647,79,0.989,60,0.975,93,0.114
Georgia,90,0.681,61,0.679,78,0.989,119,0.967,114,0.089
Uruguay,91,0.681,90,0.643,39,0.999,1,0.980,104,0.101
Greece,92,0.680,85,0.649,85,0.987,54,0.979,101,0.104
Tajikistan,93,0.679,47,0.711,118,0.937,126,0.966,102,0.104
Slovak Republic,94,0.679,86,0.648,1,1.000,76,0.973,110,0.093
Suriname,95,0.679,100,0.617,44,0.997,1,0.980,91,0.120
Paraguay,96,0.676,82,0.656,59,0.995,1,0.980,122,0.075
Dominican Republic,97,0.676,78,0.658,77,0.989,97,0.971,118,0.085
Belize,98,0.676,59,0.686,75,0.990,1,0.980,135,0.048
China,99,0.676,81,0.656,99,0.967,144,0.919,74,0.162
Sri Lanka,100,0.673,124,0.530,82,0.988,1,0.980,57,0.196
Hungary,101,0.669,67,0.672,67,0.992,40,0.979,138,0.035
Armenia,102,0.669,69,0.671,27,1.000,143,0.939,125,0.068
Brunei Darussalam,103,0.669,56,0.696,70,0.992,130,0.966,141,0.021
"Gambia, The",104,0.667,60,0.685,127,0.913,83,0.973,106,0.098
Guatemala,105,0.666,102,0.613,107,0.960,1,0.980,96,0.112
Malaysia,106,0.666,80,0.658,89,0.985,109,0.969,134,0.051
Swaziland,107,0.665,109,0.595,46,0.997,132,0.961,100,0.109
Malta,108,0.664,108,0.595,111,0.953,107,0.970,82,0.140
Ethiopia,109,0.662,106,0.599,132,0.840,57,0.978,45,0.231
Nepal,110,0.661,115,0.578,123,0.918,92,0.972,68,0.175
Japan,111,0.660,118,0.569,76,0.990,40,0.979,103,0.103
Cambodia,112,0.658,77,0.659,128,0.897,1,0.980,108,0.098
Mauritius,113,0.652,121,0.550,71,0.991,1,0.980,116,0.087
Liberia,114,0.652,103,0.612,137,0.797,118,0.967,46,0.230
Maldives,115,0.650,112,0.590,81,0.988,129,0.966,133,0.055
"Korea, Rep.",116,0.649,123,0.537,102,0.964,76,0.973,92,0.120
Angola,117,0.643,120,0.565,138,0.778,1,0.980,40,0.251
Nigeria,118,0.643,52,0.700,134,0.814,135,0.961,109,0.097
Qatar,119,0.643,97,0.619,92,0.982,136,0.957,144,0.013
Algeria,120,0.642,134,0.435,104,0.962,127,0.966,56,0.205
Bhutan,121,0.642,99,0.619,121,0.925,125,0.966,132,0.056
Guinea,122,0.640,29,0.745,142,0.718,115,0.967,88,0.130
Burkina Faso,123,0.640,44,0.714,136,0.809,116,0.967,127,0.068
United Arab Emirates,124,0.639,130,0.456,32,1.000,132,0.961,83,0.139
Timor-Leste*,125,0.637,137,0.406,117,0.941,96,0.971,47,0.229
Tunisia,126,0.636,131,0.444,106,0.960,110,0.969,71,0.170
Benin,127,0.636,14,0.795,143,0.712,116,0.967,128,0.067
Kuwait,128,0.624,125,0.520,47,0.997,136,0.957,140,0.022
Mauritania,129,0.624,128,0.469,131,0.858,85,0.973,59,0.195
Turkey,130,0.623,129,0.464,109,0.958,1,0.980,113,0.090
Bahrain,131,0.615,127,0.475,84,0.987,132,0.961,137,0.037
Egypt,132,0.614,132,0.444,112,0.952,95,0.971,115,0.087
Oman,133,0.612,126,0.483,97,0.973,99,0.971,142,0.021
Jordan,134,0.603,138,0.381,64,0.993,131,0.966,123,0.073
Lebanon,135,0.598,133,0.440,108,0.959,102,0.970,143,0.021
Côte d'Ivoire,136,0.597,116,0.575,139,0.764,112,0.968,120,0.081
Morocco,137,0.597,139,0.380,122,0.925,93,0.971,98,0.110
Mali,138,0.591,110,0.594,140,0.733,140,0.949,117,0.086
"Iran, Islamic Rep.",139,0.587,140,0.357,94,0.975,98,0.971,136,0.047
Chad,140,0.587,74,0.667,144,0.618,111,0.968,111,0.093
Saudi Arabia,141,0.583,142,0.328,105,0.961,128,0.966,121,0.077
Syria,142,0.567,144,0.273,103,0.963,101,0.970,130,0.063
Pakistan,143,0.556,143,0.320,135,0.811,124,0.967,90,0.127
Yemen,144,0.516,141,0.352,141,0.720,122,0.967,139,0.026
