country,global-index-rank,global-index-score,economic-participation-opportunity-rank,economic-participation-opportunity-score,educational-attainment-rank,educational-attainment-score,health-survival-rank,health-survival-score,political-empowerment-rank,political-empowerment-score
Lesotho,73,0.695,84,0.655,1,1.000,35,0.979,84,0.147
Slovak Republic,74,0.694,79,0.662,1,1.000,1,0.980,89,0.135
Thailand,75,0.694,24,0.767,106,0.958,51,0.978,127,0.072
Kenya,76,0.694,44,0.720,120,0.929,1,0.980,83,0.147
Montenegro,77,0.693,88,0.653,83,0.988,75,0.974,79,0.157
Greece,78,0.692,73,0.670,76,0.991,89,0.973,88,0.136
Belize,79,0.692,21,0.772,85,0.988,61,0.976,139,0.032
Madagascar,80,0.692,48,0.716,114,0.950,76,0.974,94,0.127
Mexico,81,0.692,124,0.518,53,0.996,58,0.977,34,0.276
Italy,82,0.692,118,0.571,60,0.995,123,0.967,46,0.234
Myanmar*,83,0.691,26,0.754,95,0.975,66,0.976,132,0.059
Indonesia,84,0.691,108,0.610,88,0.986,60,0.976,63,0.193
Kyrgyz Republic,85,0.691,78,0.664,79,0.990,1,0.980,92,0.130
Suriname,86,0.689,105,0.618,73,0.991,91,0.972,71,0.177
Cameroon,87,0.689,40,0.725,129,0.868,92,0.972,64,0.191
Czech Republic,88,0.688,92,0.643,1,1.000,1,0.980,91,0.130
Cape Verde,89,0.686,106,0.615,93,0.980,110,0.969,70,0.178
Brazil,90,0.684,83,0.655,1,1.000,1,0.980,110,0.101
Senegal,91,0.684,102,0.624,132,0.831,87,0.973,29,0.308
Cyprus,92,0.684,66,0.679,46,0.998,126,0.966,115,0.092
Malta,93,0.682,107,0.610,1,1.000,102,0.971,85,0.146
Georgia,94,0.679,75,0.669,81,0.989,124,0.967,114,0.093
Tajikistan,95,0.678,52,0.708,115,0.941,67,0.976,117,0.088
Paraguay,96,0.678,90,0.652,61,0.994,97,0.971,113,0.094
Armenia,97,0.677,71,0.671,42,0.999,143,0.939,111,0.099
Azerbaijan,98,0.676,45,0.717,91,0.984,142,0.941,131,0.063
Cambodia,99,0.676,56,0.698,121,0.921,1,0.980,106,0.104
China,100,0.674,86,0.654,102,0.963,144,0.918,77,0.160
Malawi,101,0.672,85,0.654,126,0.908,77,0.974,81,0.152
Brunei Darussalam,102,0.671,61,0.692,78,0.990,111,0.969,140,0.031
Hungary,103,0.670,68,0.675,68,0.992,36,0.979,138,0.035
Malaysia,104,0.670,87,0.654,77,0.991,53,0.977,133,0.058
Swaziland,105,0.670,112,0.595,59,0.995,1,0.980,102,0.109
Maldives,106,0.669,94,0.641,1,1.000,133,0.963,128,0.072
Liberia,107,0.669,58,0.695,138,0.772,85,0.973,45,0.236
India,108,0.669,139,0.376,112,0.952,141,0.942,15,0.407
Sri Lanka,109,0.669,123,0.521,86,0.986,1,0.980,65,0.188
Guatemala,110,0.667,101,0.626,103,0.962,1,0.980,109,0.102
Nepal,111,0.664,110,0.599,116,0.936,116,0.969,80,0.155
Mauritius,112,0.664,113,0.595,69,0.992,1,0.980,116,0.090
Guinea,113,0.659,10,0.813,143,0.699,132,0.964,76,0.162
Japan,114,0.657,114,0.580,74,0.991,1,0.980,123,0.078
Ethiopia,115,0.656,109,0.604,134,0.819,44,0.979,50,0.223
Benin,116,0.652,4,0.864,142,0.714,131,0.964,129,0.065
Tunisia,117,0.651,131,0.446,99,0.966,71,0.975,55,0.216
"Korea, Rep.",118,0.650,121,0.533,105,0.960,84,0.973,90,0.134
"Gambia, The",119,0.649,100,0.627,127,0.896,122,0.968,104,0.106
United Arab Emirates,120,0.649,130,0.459,62,0.994,129,0.965,67,0.180
Burkina Faso,121,0.646,47,0.716,133,0.829,134,0.963,125,0.075
Nigeria,122,0.641,37,0.728,135,0.813,94,0.972,135,0.052
Angola,123,0.640,119,0.560,139,0.763,64,0.976,39,0.262
Bhutan,124,0.638,103,0.622,123,0.916,137,0.959,134,0.056
Fiji*,125,0.638,127,0.479,71,0.991,36,0.979,105,0.104
Bahrain,126,0.632,120,0.537,75,0.991,136,0.961,137,0.037
Algeria,127,0.629,132,0.442,107,0.957,106,0.970,86,0.145
Timor-Leste,128,0.628,136,0.393,117,0.934,43,0.979,60,0.205
Kuwait,129,0.628,125,0.518,52,0.996,117,0.969,141,0.027
Qatar,130,0.626,122,0.523,33,1.000,127,0.965,143,0.016
Turkey,131,0.625,128,0.471,101,0.965,59,0.977,118,0.088
Mauritania,132,0.614,134,0.417,131,0.853,107,0.970,57,0.214
Côte d'Ivoire,133,0.611,115,0.575,137,0.800,121,0.968,108,0.102
Egypt,134,0.608,135,0.413,104,0.960,99,0.971,119,0.087
Jordan,135,0.604,138,0.377,51,0.996,113,0.969,126,0.075
Morocco,136,0.598,137,0.391,122,0.920,128,0.965,100,0.117
Lebanon,137,0.596,133,0.440,109,0.956,109,0.970,142,0.019
Saudi Arabia,138,0.584,142,0.320,96,0.975,130,0.965,124,0.077
Mali,139,0.583,126,0.518,140,0.741,139,0.956,99,0.118
"Iran, Islamic Rep.",140,0.583,140,0.357,100,0.965,135,0.963,136,0.046
Chad,141,0.575,77,0.667,144,0.572,73,0.974,120,0.087
Syria,142,0.568,144,0.274,110,0.956,1,0.980,130,0.063
Pakistan,143,0.546,143,0.309,136,0.802,140,0.948,95,0.127
Yemen,144,0.516,141,0.345,141,0.737,119,0.968,144,0.014
